Date,Day Total
2/28/2023,19.75
3/2/2023,16.5
3/4/2023,1519.25
3/5/2023,1686.5
3/6/2023,1373.75
3/7/2023,800.75
3/8/2023,561.75
3/9/2023,632.75
3/10/2023,1297.25
3/11/2023,1373.75
3/12/2023,761.25
3/13/2023,736.75
3/14/2023,885.25
3/15/2023,1395.5
3/16/2023,428.75
3/17/2023,970.5
3/18/2023,903.75
3/19/2023,815
3/20/2023,547.5
3/21/2023,673
3/22/2023,1481.5
3/23/2023,861.25
3/24/2023,545
3/25/2023,1490.5
3/26/2023,1296.5
3/27/2023,1212
3/28/2023,909.5
3/29/2023,1131
3/30/2023,503.5
3/31/2023,1570.75
4/1/2023,1862
4/2/2023,849.5
4/3/2023,1775
4/4/2023,1002.75
4/5/2023,1168.5
4/6/2023,859.06
4/7/2023,1404.75
4/8/2023,1739
4/10/2023,1348.5
4/11/2023,1261.25
4/12/2023,1514.5
4/13/2023,1433.25
4/14/2023,1355.75
4/15/2023,1233.25
4/16/2023,1096.5
4/17/2023,1207
4/18/2023,860.5
4/19/2023,961
4/20/2023,950.75
4/21/2023,1414
4/22/2023,610
4/23/2023,975.25
4/24/2023,854
4/25/2023,667.25
4/26/2023,14.5
4/27/2023,690.25
4/28/2023,631
4/29/2023,1353.5
4/30/2023,1034.25
5/1/2023,1059
5/2/2023,1725.5
5/3/2023,663
5/4/2023,528.25
5/5/2023,1526.75
5/6/2023,1992
5/7/2023,950
5/8/2023,1441.5
5/9/2023,1322.75
5/10/2023,952
5/11/2023,1071.5
5/12/2023,1326.5
5/13/2023,1537
5/15/2023,965
5/16/2023,853.5
5/17/2023,1169.25
5/18/2023,1155.25
5/19/2023,1114.75
5/20/2023,1243
5/21/2023,847.75
5/22/2023,1207.75
5/23/2023,1252.5
5/24/2023,1404.5
5/25/2023,1268.75
5/26/2023,1433.75
5/27/2023,1321.75
5/28/2023,817
5/29/2023,707.25
5/30/2023,1166.75
5/31/2023,1356.5
6/1/2023,1382.75
6/2/2023,1802.25
6/3/2023,234.5
6/4/2023,824.5
6/5/2023,1469
6/6/2023,1279
6/7/2023,1506
6/8/2023,1310.25
6/9/2023,1565.5
6/10/2023,1079.25
6/11/2023,1113.83
6/13/2023,1019.25
6/14/2023,1514.5
6/15/2023,1020.25
6/16/2023,1236.5
6/17/2023,1237.75
6/19/2023,1463
6/20/2023,1450.25
6/21/2023,1142.25
6/22/2023,1255.5
6/23/2023,365.75
6/24/2023,1562
6/25/2023,1149.75
6/26/2023,1265.52
6/27/2023,1329.66
6/28/2023,1497.5
6/29/2023,1591.75
6/30/2023,1515.75
7/1/2023,945.75
7/2/2023,976.75
7/3/2023,709
7/5/2023,1136.5
7/6/2023,1179
7/7/2023,816.5
7/8/2023,1257.66
7/9/2023,574.5
7/10/2023,1005
7/11/2023,915.75
7/12/2023,1484.25
7/13/2023,1102.75
7/14/2023,1003.75
7/15/2023,802.5
7/16/2023,743.5
7/17/2023,926.75
7/18/2023,1185.5
7/19/2023,1106
7/20/2023,1311.25
7/21/2023,935.75
7/22/2023,1185.03
7/23/2023,906.5
7/24/2023,1066.75
7/25/2023,1084.5
7/26/2023,938.75
7/27/2023,1162.73
7/28/2023,1253
7/29/2023,1377.5
7/30/2023,825.75
7/31/2023,1124.5
8/1/2023,1470.25
8/2/2023,797.75
8/3/2023,1171.25
8/4/2023,1175
8/5/2023,1134.75
8/6/2023,773.25
8/7/2023,819.25
8/8/2023,681
8/9/2023,819.75
8/10/2023,1038.25
8/11/2023,599.25
8/12/2023,584.25
8/13/2023,508.5
8/14/2023,342
8/15/2023,588.75
8/16/2023,624.25
8/17/2023,772.5
8/18/2023,903.5
8/19/2023,966.5
8/20/2023,784.75
8/21/2023,652
8/22/2023,680.25
8/23/2023,690
8/24/2023,689.75
8/25/2023,794.75
8/26/2023,746.75
8/27/2023,466.5
8/28/2023,373.5
8/29/2023,472
8/30/2023,439.25
8/31/2023,479
9/1/2023,650.75
9/2/2023,557
9/3/2023,434.5
9/5/2023,527
9/6/2023,475.25
9/7/2023,515.5
9/8/2023,638.75
9/9/2023,335
9/10/2023,364
9/11/2023,219.75
9/12/2023,216.25
9/13/2023,349.5
9/14/2023,278.25
9/15/2023,329.75
9/16/2023,307
9/17/2023,575.5
9/18/2023,325
9/19/2023,25.25
9/20/2023,272
9/21/2023,291
9/22/2023,298.25
9/23/2023,619.5
9/24/2023,173.75
9/25/2023,348.5
9/26/2023,296.25
9/27/2023,299.25
9/28/2023,287
9/29/2023,475
9/30/2023,328.75
10/1/2023,314
10/2/2023,378.75
10/3/2023,281.5
10/4/2023,104.5
10/5/2023,220.25
10/6/2023,259.25
10/7/2023,139.25
10/8/2023,165.25
10/9/2023,170
10/10/2023,170.5
10/11/2023,193.5
10/12/2023,169.75
10/13/2023,117.5
10/14/2023,64
10/15/2023,72
10/16/2023,118
10/17/2023,117.75
10/18/2023,134.5
10/19/2023,134.5
10/20/2023,155.75
10/21/2023,110.75
10/22/2023,38.25
10/23/2023,80.75
10/24/2023,69.75
10/25/2023,50.25
10/26/2023,148.25
10/27/2023,34.75
11/4/2023,95.25
11/5/2023,157
