YEAR,MONTH,DAY,STID,TMAX,TMIN,TAVG,HAVG,RAIN,RMAX
2023,2,28,ADAX,77.83,39.47,62.2,35.49,0,0
2023,3,2,ADAX,62.2,42.67,51.09,77.94,0.55,0.36
2023,3,4,ADAX,68.97,36.37,53.69,69.17,0,0
2023,3,5,ADAX,76.39,49.69,63.13,54.33,0,0
2023,3,6,ADAX,78.15,46.32,64.3,56.81,0,0
2023,3,7,ADAX,71.89,47.28,55.41,70.83,0,0
2023,3,8,ADAX,53.58,43.99,48.74,91.97,0.64,0.84
2023,3,9,ADAX,53.71,46.92,50.59,96.31,0.51,1.32
2023,3,10,ADAX,59.81,37.23,48.03,71.95,0,0
2023,3,11,ADAX,83.07,50.83,61.06,78.58,0.01,0.12
2023,3,12,ADAX,53.87,39.98,46.91,71.28,0,0
2023,3,13,ADAX,46.2,33.66,40.07,54.72,0,0
2023,3,14,ADAX,55.29,29.76,44.31,57.4,0,0
2023,3,15,ADAX,66.13,39.71,52.5,57.24,0,0
2023,3,16,ADAX,68.61,37.75,53.24,78.81,0.23,0.6
2023,3,17,ADAX,50.68,31.22,39.84,53.97,0,0
2023,3,18,ADAX,46.71,26.91,36.37,51.39,0,0
2023,3,19,ADAX,48.99,17.75,35.06,45.76,0,0
2023,3,20,ADAX,56.97,34.38,45.06,45.47,0,0
2023,3,21,ADAX,67.08,44.23,53.81,81,0.09,0.12
2023,3,22,ADAX,82.08,65.52,71.94,71.79,0,0
2023,3,23,ADAX,75.11,53.28,66.06,83.88,1.25,3.12
2023,3,24,ADAX,55.38,40.71,48.38,93.6,0.98,1.44
2023,3,25,ADAX,68.45,36.12,51.35,72.8,0.01,0.12
2023,3,26,ADAX,65.91,40.91,51.83,53.89,0,0
2023,3,27,ADAX,64.83,35.23,49.35,57.89,0,0
2023,3,28,ADAX,57.25,37.5,46.96,61.28,0,0
2023,3,29,ADAX,65.75,30.75,51.27,64.42,0,0
2023,3,30,ADAX,66.72,55.02,59.68,79.53,0.4,1.56
2023,3,31,ADAX,78.82,60.21,70.49,47.24,0,0
2023,4,1,ADAX,67.15,42.19,56.05,39.98,0,0
2023,4,2,ADAX,77.77,43.72,59.76,61.83,0.65,1.68
2023,4,3,ADAX,87.3,57.06,72.74,60.26,0,0
2023,4,4,ADAX,79.56,68.45,73.4,79.45,0,0
2023,4,5,ADAX,74.52,41.1,53.35,51.91,0,0
2023,4,6,ADAX,61.36,36.31,48.76,52.67,0,0
2023,4,7,ADAX,67.77,35.19,51.29,51.88,0,0
2023,4,8,ADAX,72.25,36.69,55.49,46.95,0,0
2023,4,10,ADAX,73.45,51.3,62.44,69.9,0,0
2023,4,11,ADAX,74.48,46.35,61.74,65.09,0,0
2023,4,12,ADAX,76.35,44.93,61.86,63.36,0,0
2023,4,13,ADAX,77.81,54.25,66.43,59.72,0,0
2023,4,14,ADAX,80.58,57.4,69.3,65.13,0,0
2023,4,15,ADAX,71.33,47.41,63.91,64.41,0,0
2023,4,16,ADAX,69.64,38.31,53.24,50.99,0,0
