YEAR,MONTH,DAY,STID,TMAX,TMIN,TAVG,HAVG,RAIN,RMAX
2023,1,1,ADAX,76.53,45.08,60.34,61.93,0,0
2023,1,2,ADAX,71.62,54.34,64.21,86.5,0,0
2023,1,3,ADAX,58.51,34.37,50.27,50.1,0,0
2023,1,4,ADAX,53.89,27.37,40.2,61,0,0
2023,1,5,ADAX,58.39,28.9,40.38,56.05,0,0
2023,1,6,ADAX,67.28,29.53,51.24,62.22,0,0
2023,1,7,ADAX,57.4,37.77,47.73,66.75,0,0
2023,1,8,ADAX,58.08,27.44,41.92,63.4,0,0
2023,1,9,ADAX,66.61,30.86,49.37,58.77,0,0
2023,1,10,ADAX,76.44,31.88,54.89,57.18,0,0
2023,1,11,ADAX,78.1,44.09,62.28,28.81,0,0
2023,1,12,ADAX,56.28,33.09,42.4,59.98,0,0
2023,1,13,ADAX,52.03,23.56,36.4,66.35,0,0
2023,1,14,ADAX,56.97,30.68,43.11,50.9,0,0
2023,1,15,ADAX,64.98,41.08,53.45,68.69,0,0
2023,1,16,ADAX,71.28,39.22,59.6,54.91,0,0
2023,1,17,ADAX,65.28,35.45,52.33,60.74,0,0
2023,1,18,ADAX,66.16,45.71,56.53,55.7,0.19,1.08
2023,1,19,ADAX,52.7,31.4,41.4,56.36,0,0
2023,1,20,ADAX,59.58,25.46,42.85,60.77,0,0
2023,1,21,ADAX,52.59,35.36,44.8,68.57,0.03,0.12
2023,1,22,ADAX,44.74,23.96,36.73,76.34,0,0
2023,1,23,ADAX,49.91,17.49,33.83,71.61,0,0
2023,1,24,ADAX,38.97,32.18,34.82,87.86,0.41,0.24
2023,1,25,ADAX,40.11,31.16,34.33,91.12,0.58,0.12
2023,1,26,ADAX,49.57,22.92,35.97,72.65,0.16,0.12
2023,1,27,ADAX,58.75,36.72,46.98,45.17,0,0
2023,1,28,ADAX,57.99,42.49,49.84,76.77,0,0
2023,1,29,ADAX,50.54,21.86,28.87,93.92,0,0
2023,1,30,ADAX,22.92,19.56,21.25,86.28,0,0
2023,1,31,ADAX,24.42,20.64,22.25,70.62,0,0
2023,2,1,ADAX,28.97,20.59,25.42,62.83,0,0
2023,2,2,ADAX,35.05,22.5,29.03,83.21,0.04,0.12
2023,2,3,ADAX,52.32,21.11,35.85,68.21,0.09,0.12
2023,2,4,ADAX,59.83,36.03,46.3,65.11,0.01,0.12
2023,2,5,ADAX,65.35,28.63,48.22,74.71,0,0
2023,2,6,ADAX,70.02,48.29,57.81,79.48,0,0
2023,2,7,ADAX,59.04,40.82,44.88,92.46,0.47,0.24
2023,2,8,ADAX,43.05,36.62,41.15,96.06,1.15,0.6
2023,2,9,ADAX,56.34,31.78,42.64,77.01,0.01,0.12
2023,2,10,ADAX,42.62,28.88,37.14,69.81,0,0
2023,2,11,ADAX,54.63,27.04,37.65,73.92,0,0
2023,2,12,ADAX,66.96,25.61,46.95,55.37,0,0
2023,2,13,ADAX,64.65,31.43,50.02,52.53,0,0
2023,2,14,ADAX,66.45,48.6,57.06,60.2,0.48,1.08
2023,2,15,ADAX,76.01,34.48,54.79,65.75,1.24,2.64
2023,2,16,ADAX,39.91,31.26,35.7,65.53,0,0
2023,2,17,ADAX,48.2,25.03,35.26,57.83,0,0
2023,2,18,ADAX,47.57,26.88,40.22,48.6,0,0
2023,2,19,ADAX,71.24,43.4,56.17,39.45,0,0
2023,2,20,ADAX,71.71,52.23,62.83,51.31,0,0
2023,2,21,ADAX,77.72,45.31,61.82,61.35,0,0
2023,2,22,ADAX,73.78,56.05,65.01,62.21,1.06,2.52
2023,2,23,ADAX,61.7,28.25,37.7,53.25,0,0
2023,2,24,ADAX,36.4,29.9,33.32,65.08,0,0
